Date,Type,Réf. transaction,Moyen de paiement,Quantité,Unité,Description,Catégorie,SKU,Devise,Prix avant réduction,Réduction,Prix (TTC),Prix (HT),TVA,Taux de TVA,Compte
15 mai 2026 13:22,Vente,TAAA234UZ9X,Espèces,"2,575",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"18,02","0,00","18,02","15,02","3,00",20 %,Caissier Frip & Co
15 mai 2026 13:22,Vente,TAAA234U9CH,Visa - Débit,"1,825",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"12,78","0,00","12,78","10,65","2,13",20 %,Caissier Frip & Co
15 mai 2026 13:23,Vente,TAAA234VLUX,Visa - Débit,"9,725",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"54,46","0,00","54,46","45,38","9,08",20 %,Caissier Frip & Co
15 mai 2026 13:23,Vente,"TAAA234VKGN, TAAA234VNUZ","Mastercard - Débit, Mastercard - Débit","7,72",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"43,23","0,00","43,23","36,02","7,21",20 %,Caissier Frip & Co
15 mai 2026 13:23,Vente,TAAA234VVUH,Visa - Débit,"1,09",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"7,63","0,00","7,63","6,36","1,27",20 %,Caissier Frip & Co
15 mai 2026 13:24,Vente,TAAA234V7DA,Visa - Débit,"2,3",kg,Chaussures,Ventes Au Kilo,,EUR,"6,90","0,00","6,90","5,75","1,15",20 %,Caissier Frip & Co
15 mai 2026 13:25,Vente,TAAA234XEZU,Mastercard - Débit,"1,235",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"8,64","0,00","8,64","7,20","1,44",20 %,Caissier Frip & Co
15 mai 2026 13:25,Vente,TAAA234XNYX,Visa - Débit,"6,655",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"37,27","0,00","37,27","31,06","6,21",20 %,Caissier Frip & Co
15 mai 2026 13:26,Vente,TAAA234XXA2,Mastercard - Crédit,"0,96",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"6,72","0,00","6,72","5,60","1,12",20 %,Caissier Frip & Co
15 mai 2026 13:26,Vente,TAAA234YBK6,Espèces,"3,025",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"16,94","0,00","16,94","14,12","2,82",20 %,Caissier Frip & Co
15 mai 2026 13:27,Vente,TAAA234YE6C,Visa - Débit,"8,78",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"49,17","0,00","49,17","40,98","8,19",20 %,Caissier Frip & Co
15 mai 2026 13:27,Vente,TAAA234YE6C,Visa - Débit,"9,715",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"54,40","0,00","54,40","45,33","9,07",20 %,Caissier Frip & Co
15 mai 2026 13:29,Vente,TAAA234ZK9V,Mastercard - Débit,"2,885",kg,Chaussures,Ventes Au Kilo,,EUR,"8,66","0,00","8,66","7,22","1,44",20 %,Caissier Frip & Co
15 mai 2026 13:29,Vente,TAAA234ZK9V,Mastercard - Débit,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 13:29,Vente,TAAA234ZK9V,Mastercard - Débit,"5,95",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"33,32","0,00","33,32","27,77","5,55",20 %,Caissier Frip & Co
15 mai 2026 13:30,Vente,TAAA234ZZGX,Visa - Débit,"4,095",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"28,66","0,00","28,66","23,88","4,78",20 %,Caissier Frip & Co
15 mai 2026 13:31,Vente,"TAAA2342QHZ, TAAA2342SYN","Espèces, Visa - Débit","2,07",kg,Chaussures,Ventes Au Kilo,,EUR,"6,21","0,00","6,21","5,18","1,03",20 %,Caissier Frip & Co
15 mai 2026 13:31,Vente,"TAAA2342QHZ, TAAA2342SYN","Espèces, Visa - Débit",2,pce,Sacs,Ventes Au Kilo,,EUR,"0,40","0,00","0,40","0,33","0,07",20 %,Caissier Frip & Co
15 mai 2026 13:31,Vente,"TAAA2342QHZ, TAAA2342SYN","Espèces, Visa - Débit","8,74",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"48,94","0,00","48,94","40,78","8,16",20 %,Caissier Frip & Co
15 mai 2026 13:32,Vente,TAAA2342VZP,Visa - Débit,"0,295",kg,Chaussures,Ventes Au Kilo,,EUR,"0,88","0,00","0,88","0,73","0,15",20 %,Caissier Frip & Co
15 mai 2026 13:32,Vente,TAAA2342VZP,Visa - Débit,"2,375",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"16,62","0,00","16,62","13,85","2,77",20 %,Caissier Frip & Co
15 mai 2026 13:33,Vente,TAAA2343HFF,Visa - Débit,"1,52",kg,Chaussures,Ventes Au Kilo,,EUR,"4,56","0,00","4,56","3,80","0,76",20 %,Caissier Frip & Co
15 mai 2026 13:33,Vente,TAAA2343HFF,Visa - Débit,"8,125",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"45,50","0,00","45,50","37,92","7,58",20 %,Caissier Frip & Co
15 mai 2026 13:33,Vente,TAAA2343HFF,Visa - Débit,"10,985",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"61,52","0,00","61,52","51,27","10,25",20 %,Caissier Frip & Co
15 mai 2026 13:33,Vente,TAAA2343KZL,Visa - Débit,"1,53",kg,Chaussures,Ventes Au Kilo,,EUR,"4,59","0,00","4,59","3,82","0,77",20 %,Caissier Frip & Co
15 mai 2026 13:33,Vente,TAAA2343KZL,Visa - Débit,"5,89",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"32,98","0,00","32,98","27,48","5,50",20 %,Caissier Frip & Co
15 mai 2026 13:33,Vente,TAAA2343S4T,Visa - Débit,"8,2",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"45,92","0,00","45,92","38,27","7,65",20 %,Caissier Frip & Co
15 mai 2026 13:34,Vente,TAAA23434CN,Espèces,"1,45",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"10,15","0,00","10,15","8,46","1,69",20 %,Caissier Frip & Co
15 mai 2026 13:34,Vente,TAAA23437KA,Espèces,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 13:34,Vente,TAAA23437KA,Espèces,"1,485",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"10,40","0,00","10,40","8,67","1,73",20 %,Caissier Frip & Co
15 mai 2026 13:35,Vente,TAAA2344MAZ,Visa - Débit,2,kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"14,00","0,00","14,00","11,67","2,33",20 %,Caissier Frip & Co
15 mai 2026 13:35,Vente,TAAA2344K7R,Mastercard - Débit,"2,225",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"15,58","0,00","15,58","12,98","2,60",20 %,Caissier Frip & Co
15 mai 2026 13:35,Vente,TAAA2344XYX,Visa - Débit,"0,765",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"5,36","0,00","5,36","4,47","0,89",20 %,Caissier Frip & Co
15 mai 2026 13:36,Vente,TAAA23443V4,Mastercard - Débit,"1,465",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"10,26","0,00","10,26","8,55","1,71",20 %,Caissier Frip & Co
15 mai 2026 13:36,Vente,TAAA23449EB,Visa - Débit,"2,47",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"17,29","0,00","17,29","14,41","2,88",20 %,Caissier Frip & Co
15 mai 2026 13:38,Vente,TAAA23469LA,Mastercard - Débit,"0,31",kg,Chaussures,Ventes Au Kilo,,EUR,"0,93","0,00","0,93","0,78","0,15",20 %,Caissier Frip & Co
15 mai 2026 13:38,Vente,TAAA23469LA,Mastercard - Débit,"7,2",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"40,32","0,00","40,32","33,60","6,72",20 %,Caissier Frip & Co
15 mai 2026 13:38,Vente,TAAA2347GNT,Mastercard - Débit,"3,655",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"25,58","0,00","25,58","21,32","4,26",20 %,Caissier Frip & Co
15 mai 2026 13:39,Vente,TAAA2347R2K,Mastercard - Crédit,"7,46",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"41,78","0,00","41,78","34,82","6,96",20 %,Caissier Frip & Co
15 mai 2026 13:40,Vente,TAAA23473BH,Visa - Débit,"1,17",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"8,19","0,00","8,19","6,82","1,37",20 %,Caissier Frip & Co
15 mai 2026 13:40,Vente,"TAAA2347YXY, TAAA23474KZ","Espèces, Visa - Débit","1,905",kg,Chaussures,Ventes Au Kilo,,EUR,"5,72","0,00","5,72","4,77","0,95",20 %,Caissier Frip & Co
15 mai 2026 13:40,Vente,"TAAA2347YXY, TAAA23474KZ","Espèces, Visa - Débit",2,pce,Sacs,Ventes Au Kilo,,EUR,"0,40","0,00","0,40","0,33","0,07",20 %,Caissier Frip & Co
15 mai 2026 13:40,Vente,"TAAA2347YXY, TAAA23474KZ","Espèces, Visa - Débit","13,875",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"77,70","0,00","77,70","64,75","12,95",20 %,Caissier Frip & Co
15 mai 2026 13:40,Vente,TAAA2349CTM,Mastercard - Débit,"0,49",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"3,43","0,00","3,43","2,86","0,57",20 %,Caissier Frip & Co
15 mai 2026 13:41,Vente,TAAA2349LG2,Visa - Crédit,"0,445",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"3,12","0,00","3,12","2,60","0,52",20 %,Caissier Frip & Co
15 mai 2026 13:41,Vente,TAAA2349R9N,Mastercard - Débit,"2,26",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"15,82","0,00","15,82","13,18","2,64",20 %,Caissier Frip & Co
15 mai 2026 13:41,Vente,TAAA2349VA9,Mastercard - Débit,"1,1",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"7,70","0,00","7,70","6,42","1,28",20 %,Caissier Frip & Co
15 mai 2026 13:42,Vente,TAAA23499NX,Visa - Débit,"5,35",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"29,96","0,00","29,96","24,97","4,99",20 %,Caissier Frip & Co
15 mai 2026 13:42,Vente,TAAA23497L4,Visa - Débit,"0,385",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"2,70","0,00","2,70","2,25","0,45",20 %,Caissier Frip & Co
15 mai 2026 13:42,Vente,TAAA236AHM9,Espèces,"0,495",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"3,46","0,00","3,46","2,88","0,58",20 %,Caissier Frip & Co
15 mai 2026 13:42,Vente,TAAA236AHXU,Mastercard - Débit,"2,65",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"18,55","0,00","18,55","15,46","3,09",20 %,Caissier Frip & Co
15 mai 2026 13:43,Vente,TAAA236ARCC,Visa - Débit,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 13:43,Vente,TAAA236ARCC,Visa - Débit,"2,22",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"15,54","0,00","15,54","12,95","2,59",20 %,Caissier Frip & Co
15 mai 2026 13:43,Vente,TAAA236A2H2,Mastercard - Débit,"1,695",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"11,86","0,00","11,86","9,88","1,98",20 %,Caissier Frip & Co
15 mai 2026 13:44,Vente,TAAA236BEXV,Visa - Débit,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 13:44,Vente,TAAA236BEXV,Visa - Débit,"1,24",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"8,68","0,00","8,68","7,23","1,45",20 %,Caissier Frip & Co
15 mai 2026 13:44,Vente,TAAA236BC9S,Visa - Débit,"8,165",kg,Chaussures,Ventes Au Kilo,,EUR,"24,50","0,00","24,50","20,42","4,08",20 %,Caissier Frip & Co
15 mai 2026 13:45,Vente,TAAA236BMYX,Visa - Débit,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 13:45,Vente,TAAA236BMYX,Visa - Débit,2,kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"14,00","0,00","14,00","11,67","2,33",20 %,Caissier Frip & Co
15 mai 2026 13:45,Vente,TAAA236BUKN,Visa - Débit,"2,335",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"16,34","0,00","16,34","13,62","2,72",20 %,Caissier Frip & Co
15 mai 2026 13:46,Vente,TAAA236B3X2,Visa - Crédit,"6,96",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"38,98","0,00","38,98","32,48","6,50",20 %,Caissier Frip & Co
15 mai 2026 13:46,Vente,TAAA236BYQC,Visa - Crédit,"1,07",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"7,49","0,00","7,49","6,24","1,25",20 %,Caissier Frip & Co
15 mai 2026 13:46,Vente,TAAA236CK9C,Espèces,"4,63",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"32,41","0,00","32,41","27,01","5,40",20 %,Caissier Frip & Co
15 mai 2026 13:46,Vente,TAAA236CLCR,Visa - Crédit,"1,57",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"10,99","0,00","10,99","9,16","1,83",20 %,Caissier Frip & Co
15 mai 2026 13:47,Vente,TAAA236CZNU,Espèces,"0,25",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"1,75","0,00","1,75","1,46","0,29",20 %,Caissier Frip & Co
15 mai 2026 13:48,Vente,TAAA236C9SZ,Mastercard - Débit,"0,58",kg,Chaussures,Ventes Au Kilo,,EUR,"1,74","0,00","1,74","1,45","0,29",20 %,Caissier Frip & Co
15 mai 2026 13:48,Vente,TAAA236C9SZ,Mastercard - Débit,"2,37",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"16,59","0,00","16,59","13,82","2,77",20 %,Caissier Frip & Co
15 mai 2026 13:48,Vente,TAAA236DE79,Visa - Débit,"1,495",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"10,46","0,00","10,46","8,72","1,74",20 %,Caissier Frip & Co
15 mai 2026 13:49,Vente,TAAA236DPRA,Mastercard - Débit,"3,445",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"24,12","0,00","24,12","20,10","4,02",20 %,Caissier Frip & Co
15 mai 2026 13:49,Vente,TAAA236DSMA,Visa - Débit,"0,465",kg,Chaussures,Ventes Au Kilo,,EUR,"1,40","0,00","1,40","1,17","0,23",20 %,Caissier Frip & Co
15 mai 2026 13:49,Vente,TAAA236DSMA,Visa - Débit,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 13:49,Vente,TAAA236DSMA,Visa - Débit,3,kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"21,00","0,00","21,00","17,50","3,50",20 %,Caissier Frip & Co
15 mai 2026 13:49,Vente,TAAA236DZF9,Mastercard - Débit,"1,45",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"10,15","0,00","10,15","8,46","1,69",20 %,Caissier Frip & Co
15 mai 2026 13:49,Vente,TAAA236DYK2,Visa - Débit,"2,265",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"15,86","0,00","15,86","13,22","2,64",20 %,Caissier Frip & Co
15 mai 2026 13:50,Vente,TAAA236ELMG,Visa - Crédit,"3,945",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"27,62","0,00","27,62","23,02","4,60",20 %,Caissier Frip & Co
15 mai 2026 13:51,Vente,TAAA236ERAD,Mastercard - Débit,"4,045",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"22,65","0,00","22,65","18,88","3,77",20 %,Caissier Frip & Co
15 mai 2026 13:53,Vente,TAAA236FTBL,Visa - Crédit,"1,64",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"9,18","0,00","9,18","7,65","1,53",20 %,Caissier Frip & Co
15 mai 2026 13:53,Vente,TAAA236FTBL,Visa - Crédit,"1,885",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"10,56","0,00","10,56","8,80","1,76",20 %,Caissier Frip & Co
15 mai 2026 13:53,Vente,TAAA236FTBL,Visa - Crédit,"5,28",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"29,57","0,00","29,57","24,64","4,93",20 %,Caissier Frip & Co
15 mai 2026 13:57,Vente,TAAA236H7AR,Mastercard - Débit,"3,71",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"20,78","0,00","20,78","17,32","3,46",20 %,Caissier Frip & Co
15 mai 2026 14:00,Vente,TAAA236LDHG,Espèces,"6,945",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"38,89","0,00","38,89","32,41","6,48",20 %,Caissier Frip & Co
15 mai 2026 14:00,Vente,TAAA236LF4N,Espèces,"1,477",kg,Chaussures,Ventes Au Kilo,,EUR,"4,43","0,00","4,43","3,69","0,74",20 %,Caissier Frip & Co
15 mai 2026 14:00,Vente,TAAA236LF4N,Espèces,4,pce,Sacs,Ventes Au Kilo,,EUR,"0,80","0,00","0,80","0,67","0,13",20 %,Caissier Frip & Co
15 mai 2026 14:00,Vente,TAAA236LF4N,Espèces,"3,925",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"27,48","0,00","27,48","22,90","4,58",20 %,Caissier Frip & Co
15 mai 2026 14:00,Vente,TAAA236LF4N,Espèces,"5,9",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"33,04","0,00","33,04","27,53","5,51",20 %,Caissier Frip & Co
15 mai 2026 14:04,Vente,TAAA236NLYY,Visa - Débit,"0,305",kg,Chaussures,Ventes Au Kilo,,EUR,"0,92","0,00","0,92","0,77","0,15",20 %,Caissier Frip & Co
15 mai 2026 14:04,Vente,TAAA236NLYY,Visa - Débit,"2,64",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"18,48","0,00","18,48","15,40","3,08",20 %,Caissier Frip & Co
15 mai 2026 14:04,Vente,TAAA236NLYY,Visa - Débit,"7,815",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"43,76","0,00","43,76","36,47","7,29",20 %,Caissier Frip & Co
15 mai 2026 14:04,Vente,TAAA236NLYY,Visa - Débit,"6,085",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"34,08","0,00","34,08","28,40","5,68",20 %,Caissier Frip & Co
15 mai 2026 14:05,Vente,TAAA236N69U,Mastercard - Débit,"2,275",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"15,92","0,00","15,92","13,27","2,65",20 %,Caissier Frip & Co
15 mai 2026 14:06,Vente,TAAA236PQPK,Espèces,"0,25",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"1,75","0,00","1,75","1,46","0,29",20 %,Caissier Frip & Co
15 mai 2026 14:07,Vente,TAAA236QAS3,Visa - Débit,"1,125",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"7,88","0,00","7,88","6,57","1,31",20 %,Caissier Frip & Co
15 mai 2026 14:09,Vente,TAAA236Q6MB,Espèces,"1,605",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"11,24","0,00","11,24","9,37","1,87",20 %,Caissier Frip & Co
15 mai 2026 14:10,Vente,TAAA236RP4K,Visa - Crédit,"5,27",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"29,51","0,00","29,51","24,59","4,92",20 %,Caissier Frip & Co
15 mai 2026 14:11,Vente,TAAA236SAVG,Espèces,4,pce,Sacs,Ventes Au Kilo,,EUR,"0,80","0,00","0,80","0,67","0,13",20 %,Caissier Frip & Co
15 mai 2026 14:11,Vente,TAAA236SAVG,Espèces,"10,55",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"59,08","0,00","59,08","49,23","9,85",20 %,Caissier Frip & Co
15 mai 2026 14:11,Vente,TAAA236SAVG,Espèces,"5,595",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"31,33","0,00","31,33","26,11","5,22",20 %,Caissier Frip & Co
15 mai 2026 14:11,Vente,TAAA236SBFX,Visa - Crédit,"1,445",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"10,12","0,00","10,12","8,43","1,69",20 %,Caissier Frip & Co
15 mai 2026 14:17,Vente,TAAA236VBPP,Mastercard - Débit,"1,5",kg,Chaussures,Ventes Au Kilo,,EUR,"4,50","0,00","4,50","3,75","0,75",20 %,Caissier Frip & Co
15 mai 2026 14:17,Vente,TAAA236VBPP,Mastercard - Débit,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 14:17,Vente,TAAA236VBPP,Mastercard - Débit,"8,575",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"48,02","0,00","48,02","40,02","8,00",20 %,Caissier Frip & Co
15 mai 2026 14:18,Vente,TAAA236V2GU,Mastercard - Débit,"5,7",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"31,92","0,00","31,92","26,60","5,32",20 %,Caissier Frip & Co
15 mai 2026 14:23,Vente,TAAA236ZBC6,Espèces,"0,42",kg,Chaussures,Ventes Au Kilo,,EUR,"1,26","0,00","1,26","1,05","0,21",20 %,Caissier Frip & Co
15 mai 2026 14:23,Vente,TAAA236ZBC6,Espèces,"7,42",kg,Chaussures,Ventes Au Kilo,,EUR,"22,26","0,00","22,26","18,55","3,71",20 %,Caissier Frip & Co
15 mai 2026 14:23,Vente,TAAA236ZBC6,Espèces,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 14:23,Vente,TAAA236ZBC6,Espèces,"7,145",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"40,01","0,00","40,01","33,34","6,67",20 %,Caissier Frip & Co
15 mai 2026 14:23,Vente,TAAA236ZC3B,Visa - Débit,"0,305",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"1,71","0,00","1,71","1,42","0,29",20 %,Caissier Frip & Co
15 mai 2026 14:23,Vente,TAAA236ZC3B,Visa - Débit,"4,845",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"27,13","0,00","27,13","22,61","4,52",20 %,Caissier Frip & Co
15 mai 2026 14:23,Vente,TAAA236ZC3B,Visa - Débit,2,kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"11,20","0,00","11,20","9,33","1,87",20 %,Caissier Frip & Co
15 mai 2026 14:25,Vente,TAAA2362BUF,Espèces,"5,235",kg,Chaussures,Ventes Au Kilo,,EUR,"15,70","0,00","15,70","13,08","2,62",20 %,Caissier Frip & Co
15 mai 2026 14:25,Vente,TAAA2362BUF,Espèces,"1,53",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"10,71","0,00","10,71","8,92","1,79",20 %,Caissier Frip & Co
15 mai 2026 14:25,Vente,TAAA2362FUU,Espèces,"0,81",kg,Chaussures,Ventes Au Kilo,,EUR,"2,43","0,00","2,43","2,02","0,41",20 %,Caissier Frip & Co
15 mai 2026 14:25,Vente,TAAA2362FUU,Espèces,"1,345",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"9,42","0,00","9,42","7,85","1,57",20 %,Caissier Frip & Co
15 mai 2026 14:26,Vente,TAAA2362U7T,Espèces,"0,74",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"5,18","0,00","5,18","4,32","0,86",20 %,Caissier Frip & Co
15 mai 2026 14:28,Vente,TAAA23633EM,Visa - Débit,"4,305",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"30,14","0,00","30,14","25,12","5,02",20 %,Caissier Frip & Co
15 mai 2026 14:29,Vente,TAAA2364TUV,Mastercard - Débit,"4,03",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"28,21","0,00","28,21","23,51","4,70",20 %,Caissier Frip & Co
15 mai 2026 14:30,Vente,TAAA2364VTR,Mastercard - Débit,"2,205",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"15,44","0,00","15,44","12,87","2,57",20 %,Caissier Frip & Co
15 mai 2026 14:30,Vente,TAAA23646PM,Visa - Débit,"2,215",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"15,50","0,00","15,50","12,92","2,58",20 %,Caissier Frip & Co
15 mai 2026 14:30,Vente,TAAA2366E4L,Espèces,"0,805",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"5,64","0,00","5,64","4,70","0,94",20 %,Caissier Frip & Co
15 mai 2026 14:32,Vente,TAAA236643C,Espèces,"0,87",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"6,09","0,00","6,09","5,08","1,01",20 %,Caissier Frip & Co
15 mai 2026 14:33,Vente,TAAA2367P4D,Visa - Débit,"1,025",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"7,18","0,00","7,18","5,98","1,20",20 %,Caissier Frip & Co
15 mai 2026 14:34,Vente,TAAA23673TT,Mastercard - Débit,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 14:34,Vente,TAAA23673TT,Mastercard - Débit,"4,33",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"30,31","0,00","30,31","25,26","5,05",20 %,Caissier Frip & Co
15 mai 2026 14:34,Vente,"TAAA23674SQ, TAAA236777C","Espèces, Visa - Débit","3,76",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"26,32","0,00","26,32","21,93","4,39",20 %,Caissier Frip & Co
15 mai 2026 14:35,Vente,TAAA2369L9E,Espèces,"0,4",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"2,80","0,00","2,80","2,33","0,47",20 %,Caissier Frip & Co
15 mai 2026 14:38,Vente,TAAA237A22S,Espèces,"5,83",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"32,65","0,00","32,65","27,21","5,44",20 %,Caissier Frip & Co
15 mai 2026 14:38,Vente,TAAA237A22S,Espèces,"4,095",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"22,93","0,00","22,93","19,11","3,82",20 %,Caissier Frip & Co
15 mai 2026 14:38,Vente,TAAA237A22S,Espèces,"1,31",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"7,34","0,00","7,34","6,12","1,22",20 %,Caissier Frip & Co
15 mai 2026 14:38,Vente,TAAA237A22S,Espèces,"12,5",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"70,00","0,00","70,00","58,33","11,67",20 %,Caissier Frip & Co
15 mai 2026 14:40,Vente,TAAA237BUVF,Mastercard - Débit,"0,965",kg,Chaussures,Ventes Au Kilo,,EUR,"2,90","0,00","2,90","2,42","0,48",20 %,Caissier Frip & Co
