Date,Type,Réf. transaction,Moyen de paiement,Quantité,Unité,Description,Catégorie,SKU,Devise,Prix avant réduction,Réduction,Prix (TTC),Prix (HT),TVA,Taux de TVA,Compte
15 mai 2026 12:44,Vente,TAAA2337XVA,Espèces,"0,955",kg,Chaussures,Ventes Au Kilo,,EUR,"2,86","0,00","2,86","2,38","0,48",20 %,Caissier Frip & Co
15 mai 2026 12:44,Vente,TAAA2337XVA,Espèces,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 12:44,Vente,TAAA2337XVA,Espèces,"1,41",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"9,87","0,00","9,87","8,22","1,65",20 %,Caissier Frip & Co
15 mai 2026 12:44,Vente,TAAA2339DDM,Espèces,"0,945",kg,Chaussures,Ventes Au Kilo,,EUR,"2,84","0,00","2,84","2,37","0,47",20 %,Caissier Frip & Co
15 mai 2026 12:44,Vente,TAAA2339DDM,Espèces,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 12:44,Vente,TAAA2339DDM,Espèces,"6,115",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"34,24","0,00","34,24","28,53","5,71",20 %,Caissier Frip & Co
15 mai 2026 12:45,Vente,TAAA2339F9S,Visa - Débit,"2,57",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"17,99","0,00","17,99","14,99","3,00",20 %,Caissier Frip & Co
15 mai 2026 12:46,Vente,TAAA2339TRR,Visa - Débit,"0,59",kg,Chaussures,Ventes Au Kilo,,EUR,"1,77","0,00","1,77","1,48","0,29",20 %,Caissier Frip & Co
15 mai 2026 12:46,Vente,TAAA2339TRR,Visa - Débit,"5,705",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"31,95","0,00","31,95","26,62","5,33",20 %,Caissier Frip & Co
15 mai 2026 12:46,Vente,TAAA2339UBS,Visa - Débit,"0,805",kg,Chaussures,Ventes Au Kilo,,EUR,"2,42","0,00","2,42","2,02","0,40",20 %,Caissier Frip & Co
15 mai 2026 12:47,Vente,TAAA234ACG6,Visa - Débit,"5,585",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"31,28","0,00","31,28","26,07","5,21",20 %,Caissier Frip & Co
15 mai 2026 12:47,Vente,TAAA234APS9,Visa - Débit,"2,73",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"19,11","0,00","19,11","15,92","3,19",20 %,Caissier Frip & Co
15 mai 2026 12:48,Vente,TAAA234AZ4Q,Espèces,"8,51",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"47,66","0,00","47,66","39,72","7,94",20 %,Caissier Frip & Co
15 mai 2026 12:49,Vente,TAAA234BHGN,Mastercard - Débit,"12,45",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"69,72","0,00","69,72","58,10","11,62",20 %,Caissier Frip & Co
15 mai 2026 12:50,Vente,TAAA234BQGX,Visa - Débit,"12,57",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"70,39","0,00","70,39","58,66","11,73",20 %,Caissier Frip & Co
15 mai 2026 12:50,Vente,TAAA234B494,Visa - Débit,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 12:50,Vente,TAAA234B494,Visa - Débit,"8,39",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"46,98","0,00","46,98","39,15","7,83",20 %,Caissier Frip & Co
15 mai 2026 12:51,Vente,TAAA234CD32,Visa - Débit,"7,735",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"43,32","0,00","43,32","36,10","7,22",20 %,Caissier Frip & Co
15 mai 2026 12:51,Vente,TAAA234CFBM,Visa - Débit,"1,74",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"12,18","0,00","12,18","10,15","2,03",20 %,Caissier Frip & Co
15 mai 2026 12:51,Vente,TAAA234CP4Z,Visa - Débit,"1,78",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"12,46","0,00","12,46","10,38","2,08",20 %,Caissier Frip & Co
15 mai 2026 12:53,Vente,TAAA234DB74,Visa - Débit,"12,705",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"71,15","0,00","71,15","59,29","11,86",20 %,Caissier Frip & Co
15 mai 2026 12:53,Vente,TAAA234DB74,Visa - Débit,"9,09",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"50,90","0,00","50,90","42,42","8,48",20 %,Caissier Frip & Co
15 mai 2026 12:53,Vente,TAAA234DFPE,Visa - Débit,"0,8",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"4,48","0,00","4,48","3,73","0,75",20 %,Caissier Frip & Co
15 mai 2026 12:53,Vente,TAAA234DFPE,Visa - Débit,"8,99",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"50,34","0,00","50,34","41,95","8,39",20 %,Caissier Frip & Co
15 mai 2026 12:53,Vente,TAAA234DP3M,Mastercard - Débit,"4,11",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"28,77","0,00","28,77","23,98","4,79",20 %,Caissier Frip & Co
15 mai 2026 12:54,Vente,TAAA234DY7N,Espèces,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 12:55,Vente,TAAA234ELCK,Espèces,"1,29",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"9,03","0,00","9,03","7,52","1,51",20 %,Caissier Frip & Co
15 mai 2026 12:56,Vente,TAAA234E77H,Espèces,"3,02",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"21,14","0,00","21,14","17,62","3,52",20 %,Caissier Frip & Co
15 mai 2026 12:57,Vente,TAAA234FA9Y,Espèces,"0,51",kg,Chaussures,Ventes Au Kilo,,EUR,"1,53","0,00","1,53","1,28","0,25",20 %,Caissier Frip & Co
15 mai 2026 12:57,Vente,TAAA234FA9Y,Espèces,"6,445",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"36,09","0,00","36,09","30,08","6,01",20 %,Caissier Frip & Co
15 mai 2026 12:57,Vente,TAAA234FM39,Visa - Débit,"3,765",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"26,36","0,00","26,36","21,97","4,39",20 %,Caissier Frip & Co
15 mai 2026 12:58,Vente,TAAA234FT4C,Visa - Crédit,"3,215",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"22,50","0,00","22,50","18,75","3,75",20 %,Caissier Frip & Co
15 mai 2026 12:58,Vente,TAAA234FXYU,Visa - Débit,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 12:58,Vente,TAAA234FXYU,Visa - Débit,"7,54",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"42,22","0,00","42,22","35,18","7,04",20 %,Caissier Frip & Co
15 mai 2026 12:59,Vente,TAAA234GCFB,Mastercard - Débit,"3,535",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"24,74","0,00","24,74","20,62","4,12",20 %,Caissier Frip & Co
15 mai 2026 13:01,Vente,TAAA234HEUU,Espèces,"6,9",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"38,64","0,00","38,64","32,20","6,44",20 %,Caissier Frip & Co
15 mai 2026 13:02,Vente,TAAA234HPLF,Visa - Débit,"0,965",kg,Chaussures,Ventes Au Kilo,,EUR,"2,90","0,00","2,90","2,42","0,48",20 %,Caissier Frip & Co
15 mai 2026 13:02,Vente,TAAA234HPLF,Visa - Débit,"2,54",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"14,22","0,00","14,22","11,85","2,37",20 %,Caissier Frip & Co
15 mai 2026 13:02,Vente,TAAA234HPLF,Visa - Débit,"2,94",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"16,46","0,00","16,46","13,72","2,74",20 %,Caissier Frip & Co
15 mai 2026 13:02,Vente,TAAA234HX7N,Visa - Débit,"8,14",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"45,58","0,00","45,58","37,98","7,60",20 %,Caissier Frip & Co
