PAV;Adresse;Complément d'adresse;Code postal;Ville;Latitude (degré décimaux);Longitude (degré décimaux);Communauté de communes;Surface;Reference Eco TLC;Entité détentrice
QUÉVREVILLE-LA-POTERIE - Chemin du Vaudin (Parking Salle des fêtes);Chemin du Vaudin;Parking Salle des fêtes;76520;Quévreville-La-Poterie;49.35613833102769;1.1879760402282624;Métropole Rouen Normandie;Publique;TLC_00055646;Solidarité Textiles
YMARE - Mairie (Pôle Déchets);Mairie;Pôle Déchets;76520;Ymare;49.3503139;1.1778794;Métropole Rouen Normandie;Publique;TLC_00050603;Solidarité Textiles
LES AUTHIEUX-SUR-LE-PORT-SAINT-OUEN - 260 rue du Docteur Gallouen (Parking de la salle des fêtes);260 rue du Docteur Gallouen;Parking de la salle des fêtes;76520;Les Authieux-Sur-Le-Port-Saint-Ouen;49.3408846;1.1328675;Métropole Rouen Normandie;Publique;TLC_00061734;Solidarité Textiles
"GOUY - 28 rue du Poste (Suivre ""Résidence Perelles"" - Sur le parking)";28 rue du Poste;"Suivre ""Résidence Perelles"" - Sur le parking";76520;Gouy;49.3534984;1.1474265;Métropole Rouen Normandie;Publique;TLC_02852243;Solidarité Textiles
ROUEN - 19 rue du Général Giraud;19 rue du Général Giraud;;76000;Rouen;49.4414885;1.0865305;Métropole Rouen Normandie;Publique;TLC_02996127;Solidarité Textiles
ROUEN - 25 rue de la Poterne (Entrée escalier Parking);25 rue de la Poterne;Entrée escalier Parking;76000;Rouen;49.4435782;1.0926687;Métropole Rouen Normandie;Publique;TLC_02996126;Solidarité Textiles
ROUEN - 35 rue Orbe (Près de Franprix);35 rue Orbe;Près de Franprix;76000;Rouen;49.4431433;1.1041131;Métropole Rouen Normandie;Publique;TLC_02996125;Solidarité Textiles
ROUEN - 72 rue de Martainville;72 rue de Martainville;;76000;Rouen;49.4386581;1.1036246;Métropole Rouen Normandie;Publique;TLC_02996123;Solidarité Textiles
ROUEN - 2 Rue François Couperin (Parking Eglise Sainte-Claire);2 Rue François Couperin;Parking Eglise Sainte-Claire;76000;Rouen;49.4477877;1.1406381;Métropole Rouen Normandie;Publique;TLC_02997389;Solidarité Textiles
ROUEN - 27 rue Saint-Sever (Cours Clémenceau);27 rue Saint-Sever;Cours Clémenceau;76000;Rouen;;;Métropole Rouen Normandie;Publique;TLC_02996129;Solidarité Textiles
ROUEN - 2 Rue Roger Bésus (Centre Charlotte Delbo);2 Rue Roger Bésus;Centre Charlotte Delbo;76000;Rouen;49.4233886;1.0706877;Métropole Rouen Normandie;Publique;TLC_20050500;Solidarité Textiles
DARNÉTAL - 2 rue Edouard Branly;2 rue Edouard Branly;;76160;Darnétal;49.4412967;1.1414569;Métropole Rouen Normandie;Publique;TLC_02852146;Solidarité Textiles
LE GRAND-QUEVILLY - 132 Rue de la République (Centre Marx Dormoy);132 Rue de la République;Centre Marx Dormoy;76120;Le Grand-Quevilly;49.4136846;1.0342013;Métropole Rouen Normandie;Publique;TLC_00067690;Solidarité Textiles
SAINT-AUBIN-CELLOVILLE - 12 Rue de la Mairie  (Ruelle Atelier Municipal - Salle des Fêtes);12 Rue de la Mairie ;Ruelle Atelier Municipal - Salle des Fêtes;76520;Saint-Aubin-Celloville;49.364568;1.155796;Métropole Rouen Normandie;Publique;TLC_02996134;Solidarité Textiles
ROUEN - Rue du Chanoine Maubec (Angle Ferdinand Marrou - Derrière le Coccinelle);Rue du Chanoine Maubec;Angle Ferdinand Marrou - Derrière le Coccinelle;76000;Rouen;49.45720248268819;1.1296958227538978;Métropole Rouen Normandie;Publique;TLC_02997390;Solidarité Textiles
ROUEN - 41 Rue des Canadiens;41 Rue des Canadiens;;76000;Rouen;49.4524062;1.118665;Métropole Rouen Normandie;Publique;TLC_20051600;Solidarité Textiles
BIHOREL - 15 Rue Philibert Caux (En face de l'école Ste Victrice);15 Rue Philibert Caux;En face de l'école Ste Victrice;76420;Bihorel;49.4591153;1.1144951;Métropole Rouen Normandie;Publique;TLC_03200841;Solidarité Textiles
DÉVILLE-LÈS-ROUEN - 51 Rue de la République (Devant Créapolis);51 Rue de la République;Devant Créapolis;76250;Déville-Lès-Rouen;49.473328;1.041946;Métropole Rouen Normandie;Publique;TLC_00017929;Solidarité Textiles
DARNÉTAL - 8 Sente de la Ravine (Déchetterie);8 Sente de la Ravine;Déchetterie;76160;Darnétal;49.4450289;1.160058;Métropole Rouen Normandie;Privée - Déchetterie;TLC_00055781;Solidarité Textiles
ROCQUEMONT - 709 Grande Rue  (Côté Eglise);709 Grande Rue ;Côté Eglise;76680;Rocquemont;49.603358;1.284158;;Publique;TLC_03198778;Solidarité Textiles
MONTEROLIER - 1 Rue du Mesnil (Devant le terrain de tennis);1 Rue du Mesnil;Devant le terrain de tennis;76680;Monterolier;49.6276563;1.3446324;;Publique;TLC_03198776;Solidarité Textiles
SOMMERY - 479 rue de la Gare (Parking Gare);479 rue de la Gare;Parking Gare;76440;Sommery;49.6298681;1.4354724;;Publique;TLC_03198779;Solidarité Textiles
NEUFCHATEL-EN-BRAY - 29 Impasse de la Gare (Face crèperie);29 Impasse de la Gare;Face crèperie;76270;Neufchatel-en-Bray;49.7334807;1.4359706;;Publique;TLC_03198777;Solidarité Textiles
DARNÉTAL - 10 rue aux Juifs;10 rue aux Juifs;;76160;Darnétal;49.4373767;1.1484635;Métropole Rouen Normandie;Publique;TLC_03198774;Solidarité Textiles
BIHOREL - 34 Rue de Verdun (Parking de la Piscine Transat);34 Rue de Verdun;Parking de la Piscine Transat;76420;Bihorel;49.459388;1.1233008;Métropole Rouen Normandie;Publique;TLC_03267896;Solidarité Textiles
BOOS - Rue des Canadiens (Déchetterie Boos - D91 vers Saint-Aubin-Celloville);Rue des Canadiens;Déchetterie Boos - D91 vers Saint-Aubin-Celloville;76520;Boos;49.3757041412845;1.18180979092406;Métropole Rouen Normandie;Privée - Déchetterie;TLC_00055643;Solidarité Textiles
BELBEUF - 8 rue des canadiens (Parking Salle Jacques Anquetil);8 rue des canadiens;Parking Salle Jacques Anquetil;76240;Belbeuf;49.388972;1.140556;Métropole Rouen Normandie;Publique;TLC_00055641;Solidarité Textiles
BAPEAUME-LÈS-ROUEN - 9021 Rue du Canal (Derrière la Station Service);9021 Rue du Canal;Derrière la Station Service;76380;Bapeaume-Lès-Rouen;49.4584663;1.0438016;Métropole Rouen Normandie;Parking CC;TLC_03198773;Solidarité Textiles
ROUEN - 11 Rue Antheaume (Résidence Vallon Saint Hilaire);11 Rue Antheaume;Résidence Vallon Saint Hilaire;76000;Rouen;49.4448577;1.1168911;Métropole Rouen Normandie;Publique;TLC_20050900;Solidarité Textiles
DÉVILLE-LÈS-ROUEN - 340 Route de Dieppe (Parking Salle communale (Mairie));340 Route de Dieppe;Parking Salle communale (Mairie);76250;Déville-Lès-Rouen;49.4691713;1.0516405;Métropole Rouen Normandie;Publique;TLC_00017930;Solidarité Textiles
