Rayon;Date;Num_Ticket;ID Article;Article;Quantite;Prix U. TTC;Total HT;Total TTC;Montant TVA;Taux TVA
LAYETTES;21/04/2026 11:35:15;13761;12;MANCHE COURTE LAY.;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 11:35:31;13761;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
LAYETTES;21/04/2026 11:35:47;13761;13;PANTALON LAY.;1;2;1.666667;2;0.333333;20
FEMME;21/04/2026 11:36:00;13761;65;JEAN FEMME;1;5;4.166667;5;0.833333;20
LAYETTES;21/04/2026 11:36:16;13761;13;PANTALON LAY.;1;3.5;2.916667;3.5;0.583333;20
LAYETTES;21/04/2026 11:36:40;13761;22;GIGOTEUSE LAY.;1;4;3.333333;4;0.666667;20
SAC KRAFT;21/04/2026 11:36:42;13761;46;SAC KRAFT 0,25;1;0.25;0.208333;0.25;0.041667;20
FEMME;21/04/2026 11:55:35;13762;43;ROBE FEMME;1;5;4.166667;5;0.833333;20
PRIX RONDS;21/04/2026 11:55:55;13762;48;PRIX RONDS;1;2;1.666667;2;0.333333;20
PRIX RONDS;21/04/2026 11:56:15;13762;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 11:56:38;13762;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 11:56:49;13762;48;PRIX RONDS;1;0.5;0.416667;0.5;0.083333;20
PRIX RONDS;21/04/2026 11:57:04;13762;48;PRIX RONDS;1;2;1.666667;2;0.333333;20
LAYETTES;21/04/2026 11:57:24;13762;19;ENS. PYJAMA LAY.;1;2;1.666667;2;0.333333;20
LAYETTES;21/04/2026 11:57:57;13762;21;BODY LAY.;1;0.5;0.416667;0.5;0.083333;20
LAYETTES;21/04/2026 11:58:17;13762;57;CHEMISIER MC LAY.;1;2;1.666667;2;0.333333;20
LAYETTES;21/04/2026 11:58:30;13762;13;PANTALON LAY.;1;3.5;2.916667;3.5;0.583333;20
LAYETTES;21/04/2026 11:59:09;13762;11;MANCHE LONGUE LAY.;1;3;2.5;3;0.5;20
LAYETTES;21/04/2026 11:59:28;13762;13;PANTALON LAY.;1;3.5;2.916667;3.5;0.583333;20
LAYETTES;21/04/2026 11:59:53;13762;13;PANTALON LAY.;1;3.5;2.916667;3.5;0.583333;20
LAYETTES;21/04/2026 12:00:12;13762;15;ROBE LAY.;1;3.5;2.916667;3.5;0.583333;20
SAC KRAFT;21/04/2026 12:00:22;13762;86;SAC KRAFT 0,30;1;0.3;0.25;0.3;0.05;20
PRIX RONDS;21/04/2026 12:18:24;13763;48;PRIX RONDS;1;2;1.666667;2;0.333333;20
FEMME;21/04/2026 12:18:43;13763;62;TEE SHIRT MC FEMME;1;5;4.166667;5;0.833333;20
ENFANTS;21/04/2026 12:32:41;13764;8;CHAUSSURES ENF;1;8;6.666667;8;1.333333;20
ENFANTS;21/04/2026 12:32:48;13764;8;CHAUSSURES ENF;1;10;8.333333;10;1.666667;20
ENFANTS;21/04/2026 12:32:56;13764;8;CHAUSSURES ENF;1;8;6.666667;8;1.333333;20
ENFANTS;21/04/2026 12:33:02;13764;8;CHAUSSURES ENF;1;8;6.666667;8;1.333333;20
PRIX RONDS;21/04/2026 12:33:27;13764;48;PRIX RONDS;1;2;1.666667;2;0.333333;20
SAC KRAFT;21/04/2026 12:33:30;13764;86;SAC KRAFT 0,30;1;0.3;0.25;0.3;0.05;20
ENFANTS;21/04/2026 12:33:58;13764;3;PANTALON ENF;1;2;1.666667;2;0.333333;20
ENFANTS;21/04/2026 12:34:09;13764;3;PANTALON ENF;1;2;1.666667;2;0.333333;20
ENFANTS;21/04/2026 12:34:20;13764;3;PANTALON ENF;1;5;4.166667;5;0.833333;20
ENFANTS;21/04/2026 12:35:30;13764;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 12:35:41;13764;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 12:35:54;13764;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 12:36:12;13764;2;MANCHE COURTE ENF;1;2;1.666667;2;0.333333;20
ENFANTS;21/04/2026 12:36:24;13764;2;MANCHE COURTE ENF;1;2;1.666667;2;0.333333;20
ENFANTS;21/04/2026 12:36:43;13764;2;MANCHE COURTE ENF;1;5;4.166667;5;0.833333;20
ENFANTS;21/04/2026 12:36:57;13764;2;MANCHE COURTE ENF;1;5;4.166667;5;0.833333;20
ENFANTS;21/04/2026 12:37:14;13764;4;JUPE ENF;1;5;4.166667;5;0.833333;20
ENFANTS;21/04/2026 12:37:25;13764;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 12:37:34;13764;2;MANCHE COURTE ENF;1;5;4.166667;5;0.833333;20
ENFANTS;21/04/2026 12:37:46;13764;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 12:37:57;13764;2;MANCHE COURTE ENF;1;5;4.166667;5;0.833333;20
ENFANTS;21/04/2026 12:38:09;13764;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 12:38:19;13764;2;MANCHE COURTE ENF;1;5;4.166667;5;0.833333;20
ENFANTS;21/04/2026 12:38:32;13764;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 12:38:42;13764;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 12:38:54;13764;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 12:39:03;13764;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 12:39:13;13764;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 12:39:26;13764;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 12:39:36;13764;2;MANCHE COURTE ENF;1;5;4.166667;5;0.833333;20
OPERATION;21/04/2026 12:39:56;13764;50;OPERATION;1;1;0.833333;1;0.166667;20
